"Project ID","Project","Project Lead Agency","Project Lead Agency Bureau","Project Category","Project Status","Project Sector","Project Sector Type","Project Location Full Address","Project Location State","Project Location Street Address","Project Location County","Project Location City","Project Location Zipcode","Project Location Latlong","Project Location Latitude","Project Location Longitude"
"71536","Bay Area Rapid Transit Silicon Valley Santa Clara Extension (SVSX) Phase II","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","San Jose, CA, Santa Clara","CA","","Santa Clara","San Jose","","POINT (-121.8863286 37.3382082)","37.3382082","-121.8863286"
"71536","Bay Area Rapid Transit Silicon Valley Santa Clara Extension (SVSX) Phase II","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","San Jose, CA, Santa Clara","CA","","Santa Clara","San Jose","","POINT (-121.8863286 37.3382082)","37.3382082","-121.8863286"
"71536","Bay Area Rapid Transit Silicon Valley Santa Clara Extension (SVSX) Phase II","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","San Jose, CA, Santa Clara","CA","","Santa Clara","San Jose","","POINT (-121.8863286 37.3382082)","37.3382082","-121.8863286"
"71536","Bay Area Rapid Transit Silicon Valley Santa Clara Extension (SVSX) Phase II","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","San Jose, CA, Santa Clara","CA","","Santa Clara","San Jose","","POINT (-121.8863286 37.3382082)","37.3382082","-121.8863286"
"71536","Bay Area Rapid Transit Silicon Valley Santa Clara Extension (SVSX) Phase II","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","San Jose, CA, Santa Clara","CA","","Santa Clara","San Jose","","POINT (-121.8863286 37.3382082)","37.3382082","-121.8863286"
"71536","Bay Area Rapid Transit Silicon Valley Santa Clara Extension (SVSX) Phase II","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","San Jose, CA, Santa Clara","CA","","Santa Clara","San Jose","","POINT (-121.8863286 37.3382082)","37.3382082","-121.8863286"
"71536","Bay Area Rapid Transit Silicon Valley Santa Clara Extension (SVSX) Phase II","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","San Jose, CA, Santa Clara","CA","","Santa Clara","San Jose","","POINT (-121.8863286 37.3382082)","37.3382082","-121.8863286"
"71536","Bay Area Rapid Transit Silicon Valley Santa Clara Extension (SVSX) Phase II","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","San Jose, CA, Santa Clara","CA","","Santa Clara","San Jose","","POINT (-121.8863286 37.3382082)","37.3382082","-121.8863286"
"71536","Bay Area Rapid Transit Silicon Valley Santa Clara Extension (SVSX) Phase II","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","San Jose, CA, Santa Clara","CA","","Santa Clara","San Jose","","POINT (-121.8863286 37.3382082)","37.3382082","-121.8863286"
"71536","Bay Area Rapid Transit Silicon Valley Santa Clara Extension (SVSX) Phase II","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","San Jose, CA, Santa Clara","CA","","Santa Clara","San Jose","","POINT (-121.8863286 37.3382082)","37.3382082","-121.8863286"
"71536","Bay Area Rapid Transit Silicon Valley Santa Clara Extension (SVSX) Phase II","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","San Jose, CA, Santa Clara","CA","","Santa Clara","San Jose","","POINT (-121.8863286 37.3382082)","37.3382082","-121.8863286"
"71521","Potomac Yard Metrorail Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","alexandria, VA","VA","","","alexandria","","POINT (-77.0469214 38.8048355)","38.8048355","-77.0469214"
"71521","Potomac Yard Metrorail Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","alexandria, VA","VA","","","alexandria","","POINT (-77.0469214 38.8048355)","38.8048355","-77.0469214"
"71521","Potomac Yard Metrorail Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","alexandria, VA","VA","","","alexandria","","POINT (-77.0469214 38.8048355)","38.8048355","-77.0469214"
"71521","Potomac Yard Metrorail Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","alexandria, VA","VA","","","alexandria","","POINT (-77.0469214 38.8048355)","38.8048355","-77.0469214"
"71521","Potomac Yard Metrorail Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","alexandria, VA","VA","","","alexandria","","POINT (-77.0469214 38.8048355)","38.8048355","-77.0469214"
"71521","Potomac Yard Metrorail Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","alexandria, VA","VA","","","alexandria","","POINT (-77.0469214 38.8048355)","38.8048355","-77.0469214"
"71521","Potomac Yard Metrorail Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","alexandria, VA","VA","","","alexandria","","POINT (-77.0469214 38.8048355)","38.8048355","-77.0469214"
"71521","Potomac Yard Metrorail Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","alexandria, VA","VA","","","alexandria","","POINT (-77.0469214 38.8048355)","38.8048355","-77.0469214"
"71521","Potomac Yard Metrorail Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","alexandria, VA","VA","","","alexandria","","POINT (-77.0469214 38.8048355)","38.8048355","-77.0469214"
"71521","Potomac Yard Metrorail Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","alexandria, VA","VA","","","alexandria","","POINT (-77.0469214 38.8048355)","38.8048355","-77.0469214"
"71521","Potomac Yard Metrorail Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","alexandria, VA","VA","","","alexandria","","POINT (-77.0469214 38.8048355)","38.8048355","-77.0469214"
"71541","Geary Corridor Bus Rapid Transit Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","CA","CA","","","","","POINT (-119.4179324 36.778261)","36.778261","-119.4179324"
"71541","Geary Corridor Bus Rapid Transit Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","CA","CA","","","","","POINT (-119.4179324 36.778261)","36.778261","-119.4179324"
"71541","Geary Corridor Bus Rapid Transit Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","CA","CA","","","","","POINT (-119.4179324 36.778261)","36.778261","-119.4179324"
"71541","Geary Corridor Bus Rapid Transit Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","CA","CA","","","","","POINT (-119.4179324 36.778261)","36.778261","-119.4179324"
"71541","Geary Corridor Bus Rapid Transit Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","CA","CA","","","","","POINT (-119.4179324 36.778261)","36.778261","-119.4179324"
"71541","Geary Corridor Bus Rapid Transit Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","CA","CA","","","","","POINT (-119.4179324 36.778261)","36.778261","-119.4179324"
"71541","Geary Corridor Bus Rapid Transit Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","CA","CA","","","","","POINT (-119.4179324 36.778261)","36.778261","-119.4179324"
"71541","Geary Corridor Bus Rapid Transit Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","CA","CA","","","","","POINT (-119.4179324 36.778261)","36.778261","-119.4179324"
"71541","Geary Corridor Bus Rapid Transit Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","CA","CA","","","","","POINT (-119.4179324 36.778261)","36.778261","-119.4179324"
"71541","Geary Corridor Bus Rapid Transit Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","CA","CA","","","","","POINT (-119.4179324 36.778261)","36.778261","-119.4179324"
"71541","Geary Corridor Bus Rapid Transit Project","Department of Transportation","Federal Transit Administration","DOT Projects","Complete","Surface Transportation","Public Transportation","CA","CA","","","","","POINT (-119.4179324 36.778261)","36.778261","-119.4179324"
